shrinkage,interaction.depth,n.minobsinnode,n.trees,Accuracy,Kappa,AccuracySD,KappaSD,rho
0.01,1,10,920,0.8102777777777778,0.7157509157509158,0.15055937082314463,0.22370461834942634,0.5
0.01,2,3,920,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,920,0.8002777777777778,0.7004720853858785,0.12306422927377787,0.18692540868641044,0.5
0.01,2,10,920,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,920,0.7891666666666667,0.6838054187192117,0.13013426905907258,0.1974105841527129,0.5
0.01,3,5,920,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,920,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.5
0.01,5,3,920,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,5,5,920,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,920,0.8116666666666666,0.7224175824175824,0.12626452299360988,0.17668421795109635,0.5
0.01,1,3,960,0.7880555555555555,0.6824175824175824,0.13504590745128695,0.20024829502350128,0.5
0.01,1,5,960,0.7991666666666667,0.699084249084249,0.1481947264740973,0.22015137904118592,0.5
0.01,1,10,960,0.8102777777777778,0.7157509157509158,0.15055937082314463,0.22370461834942634,0.5
0.01,2,3,960,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,960,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,2,10,960,0.8213888888888888,0.733484905898699,0.13271493683139762,0.19762682776240828,0.5
0.01,3,3,960,0.7891666666666667,0.6838054187192117,0.13013426905907258,0.1974105841527129,0.5
0.01,3,5,960,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,960,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.5
0.01,5,3,960,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,5,5,960,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,960,0.8227777777777777,0.7390842490842491,0.138144921022778,0.19520010611018054,0.5
0.01,1,3,1e3,0.7991666666666667,0.699084249084249,0.1481947264740973,0.22015137904118592,0.5
0.01,1,5,1e3,0.8102777777777778,0.7157509157509158,0.15055937082314463,0.22370461834942634,0.5
0.01,1,10,1e3,0.8102777777777778,0.7157509157509158,0.15055937082314463,0.22370461834942634,0.5
0.01,2,3,1e3,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.5
0.01,2,5,1e3,0.8225,0.7338054187192118,0.14736162745281364,0.2229819587759367,0.5
0.01,2,10,1e3,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.5
0.01,3,3,1e3,0.7891666666666667,0.6838054187192117,0.13013426905907258,0.1974105841527129,0.5
0.01,3,5,1e3,0.8113888888888888,0.7171387520525451,0.13626188424278335,0.20649376056282231,0.5
0.01,3,10,1e3,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.5
0.01,5,3,1e3,0.7780555555555555,0.6671387520525451,0.11385839700215893,0.1733141831919308,0.5
0.01,5,5,1e3,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.5
0.01,5,10,1e3,0.8338888888888889,0.752532524946318,0.10477129053140423,0.15364000417987714,0.5
0.01,1,3,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,1,5,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,1,10,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,2,3,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,2,5,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,2,10,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,3,3,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,3,5,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,3,10,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,5,3,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,5,5,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,5,10,0,0.35527777777777775,0,0.03903082563556962,0,0.55
0.01,1,3,40,0.8030555555555555,0.700503663003663,0.08925897110757237,0.14044606848694854,0.55
0.01,1,5,40,0.7919444444444445,0.6851190476190476,0.11211315137200636,0.17280026065704981,0.55
0.01,1,10,40,0.8030555555555555,0.7017857142857142,0.12726985738217655,0.19526168556667778,0.55
0.01,2,3,40,0.8141666666666667,0.7171703296703297,0.1064005328379657,0.16559738328498985,0.55
0.01,2,5,40,0.8141666666666667,0.718452380952381,0.11859408759785929,0.18284244215874207,0.55
0.01,2,10,40,0.8030555555555555,0.7017857142857142,0.12726985738217655,0.19526168556667778,0.55
0.01,3,3,40,0.8141666666666667,0.7171703296703297,0.09261527499952321,0.14577261006328657,0.55
0.01,3,5,40,0.7808333333333333,0.6708333333333333,0.11896941140679862,0.17777711344830519,0.55
0.01,3,10,40,0.8141666666666667,0.7171703296703297,0.09261527499952321,0.14577261006328657,0.55
0.01,5,3,40,0.7561111111111111,0.6347985347985348,0.11216934336627297,0.164398644174462,0.55
0.01,5,5,40,0.8016666666666666,0.6994047619047619,0.11805610021660849,0.1822212975613949,0.55
0.01,5,10,40,0.8141666666666667,0.718452380952381,0.11859408759785929,0.18284244215874207,0.55
0.01,1,3,80,0.8252777777777778,0.7338369963369963,0.10796828333247369,0.16831448271447383,0.55
0.01,1,5,80,0.8252777777777778,0.7338369963369963,0.09441221309129241,0.14885202580169363,0.55
0.01,1,10,80,0.8352777777777778,0.7501831501831502,0.07005350199161664,0.10860117781829001,0.55
0.01,2,3,80,0.8030555555555555,0.7041666666666666,0.1376266719173477,0.20593001530086394,0.55
0.01,2,5,80,0.8141666666666667,0.7219006568144499,0.11859408759785929,0.1785393517233193,0.55
0.01,2,10,80,0.8016666666666666,0.7028530377668308,0.11805610021660849,0.1783129314178224,0.55
0.01,3,3,80,0.8141666666666666,0.7219006568144499,0.10640053283796569,0.16032298839408615,0.55
0.01,3,5,80,0.7891666666666667,0.6838054187192117,0.1191278462769028,0.18110245506161007,0.55
0.01,3,10,80,0.8341666666666666,0.7573160173160173,0.11846099587873476,0.16072292324670515,0.55
0.01,5,3,80,0.7894444444444444,0.6858658582796513,0.07806165127113923,0.11344306349097578,0.55
0.01,5,5,80,0.8005555555555556,0.7014652014652014,0.12357417259155426,0.18161136205876732,0.55
0.01,5,10,80,0.8130555555555555,0.7238789945686497,0.1538154992805668,0.21658103887618824,0.55
0.01,1,3,120,0.8252777777777778,0.7351190476190476,0.12000264343224704,0.1851786894174416,0.55
0.01,1,5,120,0.8363888888888888,0.7517857142857143,0.12025956438383083,0.18583232071825498,0.55
0.01,1,10,120,0.8563888888888889,0.7827006327006327,0.07219907036324547,0.11008795067093691,0.55
0.01,2,3,120,0.8116666666666666,0.7181318681318681,0.12626452299360988,0.18566537098891242,0.55
0.01,2,5,120,0.8352777777777778,0.7549134773272704,0.10195323237259744,0.148572664606412,0.55
0.01,2,10,120,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.55
0.01,3,3,120,0.8016666666666666,0.7028530377668308,0.10580056036424476,0.1600708030986419,0.55
0.01,3,5,120,0.8227777777777777,0.7358658582796513,0.10418045176275852,0.1529392236455973,0.55
0.01,3,10,120,0.8091666666666666,0.7192207792207792,0.12357590704137028,0.17248705148292173,0.55
0.01,5,3,120,0.8116666666666666,0.7191991916129846,0.08781957123504258,0.12800561674181823,0.55
0.01,5,5,120,0.8102777777777778,0.7168182392320323,0.12015686192541838,0.17878258141678977,0.55
0.01,5,10,120,0.8216666666666667,0.733982683982684,0.12025493039922461,0.17508683444163792,0.55
0.01,1,3,160,0.8452777777777778,0.766033966033966,0.07513191416933931,0.11411331846934378,0.55
0.01,1,5,160,0.8674999999999999,0.7993672993672993,0.0671286717683897,0.10295426345300188,0.55
0.01,1,10,160,0.8563888888888889,0.7827006327006327,0.07219907036324547,0.11008795067093691,0.55
0.01,2,3,160,0.8016666666666666,0.7028530377668308,0.11805610021660849,0.1783129314178224,0.55
0.01,2,5,160,0.8327777777777777,0.7517166741304672,0.0955257633717944,0.13765723027154386,0.55
